V1	V2	semantics
come-of-age	02546142	social
come-off	01302344	contact
come-on	00424655	change
come-out	00424655	change
come-out-of-the-closet	00937488	communication
come-over	01065551	communication
come-round	00656117	cognition
come-short	01803495	emotion
come-through	00427702	change
come-to	02113245	perception
come-to-grips	02442004	social
come-to-hand	00424383	change
come-to-life	00361861	change
come-to-light	00424383	change
come-to-mind	00610906	cognition
come-to-the-fore	02093441	motion
come-together	02058465	motion
come-up	01630816	creation
come-up-to	00992687	communication
come-upon	02291532	possession
come-with	02722040	stative
comfit	01629457	creation
comfort	01818782	emotion
command	00753893	communication
commandeer	01474455	contact
commemorate	00614139	cognition
commence	00346415	change
commend	00883916	communication
comment	01060446	communication
commentate	00963618	communication
commercialise	00471317	change
commercialize	01167041	consumption
comminate	00866574	communication
commingle	01465435	contact
comminute	00331892	change
commiserate	01826198	emotion
commission	02480824	social
commit	02588700	social
commit-suicide	01327678	contact
commix	01464634	contact
commove	01766380	emotion
communalise	02300940	possession
communalize	02300940	possession
commune	00762232	communication
communicate	00744289	communication
communise	00410206	change
communize	00410206	change
commutate	00139187	change
commute	00554484	change
compact	01486664	contact
companion	02722642	stative
company	02722642	stative
compare	00654571	cognition
comparison-shop	02331668	possession
compart	01477079	contact
compartmentalise	00484732	change
compartmentalize	00484732	change
compass	02532751	social
compassionate	01825946	emotion
compel	02512195	social
compensate	02678329	stative
compere	02598553	social
compete	01074673	competition
compile	02309962	possession
complain	00909100	communication
complect	02629050	stative
complement	00456874	change
complete	00485097	change
complexify	00402279	change
complexion	00288610	change
complicate	00403446	change
compliment	00883182	communication
complot	00708804	cognition
comply	02547977	social
comport	02525332	social
compose	02627324	stative
compost	00528312	change
compound	00227591	change
comprehend	00589616	cognition
compress	01391983	contact
comprise	02639437	stative
compromise	01037675	communication
compute	00638921	cognition
computerise	02342360	possession
computerize	02342360	possession
con	02578034	social
concatenate	01467683	contact
conceal	02149298	perception
concede	00820214	communication
conceive	01636885	creation
conceive-of	01639939	creation
concenter	00733774	cognition
concentrate	00238397	change
concentrate-on	02682306	stative
concentre	00733774	cognition
conceptualise	01636885	creation
conceptualize	01636885	creation
concern	02681865	stative
concert	01642545	creation
concertina	02087941	motion
concertise	01720266	creation
concertize	01720266	creation
conciliate	01769244	emotion
conclude	00636134	cognition
concoct	01462525	contact
concord	02705946	stative
concrete	01603276	contact
concretise	00553083	change
concretize	00717674	cognition
concur	00807038	communication
concuss	01894503	motion
condemn	00865823	communication
condense	00365521	change
condescend	02597611	social
condition	02577683	social
condole	01826486	emotion
condole-with	01825946	emotion
condone	00894688	communication
conduce	02561616	social
conduct	02450374	social
cone	01587242	contact
confab	01040538	communication
confabulate	01638429	creation
confect	01754621	creation
confection	01629457	creation
confederate	02476108	social
confer	00878196	communication
confer-with	00879090	communication
confess	00821169	communication
confide	00938497	communication
configure	01661324	creation
confine	00234091	change
confine-to	00236085	change
confirm	00667804	cognition
confiscate	02278138	possession
conflagrate	02767330	weather
conflate	00395719	change
conflict	02673287	stative
conform	02669057	stative
conform-to	02674745	stative
confound	00623406	cognition
confront	01081176	competition
confuse	00621282	cognition
confute	00669342	cognition
conga	01900760	motion
conge	00900681	communication
congeal	00443624	change
congee	02012993	motion
congest	01481233	contact
conglobate	00144514	change
conglobe	00144514	change
conglomerate	00158612	change
conglutinate	01603112	contact
congratulate	00883182	communication
congregate	02027446	motion
conjecture	00635105	cognition
conjoin	01293672	contact
conjugate	00397419	change
conjure	01633150	creation
conjure-up	01633150	creation
conk	01866326	motion
conk-out	00435327	change
conn	01937064	motion
connect	01357376	contact
connive	02591445	social
connive-at	02422489	social
connote	00931801	communication
conquer	00463047	change
conscript	01101117	competition
consecrate	02391154	social
consent	00799359	communication
conserve	02688390	stative
consider	00692380	cognition
consign	02353320	possession
consist	02659476	stative
consociate	02475598	social
console	01818782	emotion
consolidate	00243466	change
consonate	02188609	perception
consort	02595401	social
conspire	00708804	cognition
constellate	02695724	stative
consternate	01795082	emotion
constipate	00441962	change
constitute	02626667	stative
constitutionalise	00569738	change
constitutionalize	02358197	possession
constrain	02566249	social
constrict	01390440	contact
constringe	00305203	change
construct	01658171	creation
construe	00624823	cognition
construe-with	02666897	stative
consubstantiate	00244458	change
consult	00879090	communication
consume	01199565	consumption
consummate	01645293	creation
contact	00745330	communication
contain	02635616	stative
containerise	01485374	contact
containerize	01485374	contact
contaminate	00493642	change
contemn	01778720	emotion
contemplate	02169256	perception
contemporise	02745129	stative
contemporize	02745129	stative
contend	00758943	communication
content	01196771	consumption
contest	00871260	communication
continue	02690747	stative
contort	01353381	contact
contour	01693647	creation
contra-danse	01900288	motion
contract	00890307	communication
contract-in	00799911	communication
contract-out	02415849	social
contradance	01900288	motion
contradict	02669219	stative
contradistinguish	00663502	cognition
contraindicate	00930437	communication
contrast	00662884	cognition
contravene	02573062	social
contredanse	01900288	motion
contribute	02329474	possession
contrive	01641910	creation
control	02445887	social
controvert	00778104	communication
contuse	01495382	contact
convalesce	00092442	body
convect	02046958	motion
convene	02028354	motion
conventionalise	00528447	change
conventionalize	00528447	change
converge	02716276	stative
converse	00966726	communication
convert	00381684	change
convey	00930591	communication
convict	00908320	communication
convince	00771598	communication
convoke	00794699	communication
convolute	01283787	contact
convolve	01283787	contact
convoy	02030279	motion
convulse	00861601	communication
coo	00911953	communication
cooccur	02666520	stative
cooccur-with	02666897	stative
cook	01669533	creation
cook-out	00325607	change
cook-up	01670026	creation
cool	00371065	change
cool-down	00371065	change
cool-it	01767681	emotion
cool-off	01767681	emotion
cool-one's-heels	02644290	stative
coop-in	01350201	contact
coop-up	01350201	contact
cooper	01663038	creation
cooperate	02421408	social
coordinate	00405549	change
cop	02327226	possession
cop-out	00681634	cognition
cope	02593624	social
copolymerise	00267277	change
copolymerize	00267277	change
copper	01268444	contact
copper-bottom	02358404	possession
copulate	01431486	contact
copy	01751182	creation
copy-out	01751410	creation
copyedit	00629787	cognition
copyread	00629787	cognition
copyright	02244315	possession
coquet	01039782	communication
coquette	01039782	communication
corbel	02357820	possession
cord	01506473	contact
cordon-off	01591218	contact
corduroy	01754703	creation
core	01593444	contact
core-out	01285148	contact
cork	01426277	contact
cork-up	01426277	contact
corkscrew	02053510	motion
corn	01181452	consumption
corner	02447789	social
cornice	02357942	possession
coronate	02396091	social
corrade	01256577	contact
corral	01603399	contact
correct	00200023	change
correlate	02665057	stative
correspond	02663315	stative
corroborate	00667804	cognition
corrode	00275082	change
corrugate	01389818	contact
corrupt	02585532	social
corset	00049386	body
coruscate	02772348	weather
cosh	01404206	contact
cosign	02470568	social
cosponsor	02225131	possession
cosset	02576182	social
cost	02708368	stative
costume	00051478	body
cotton	01781028	emotion
cotton-on	00591761	cognition
cotton-up	01808720	emotion
couch	00983308	communication
cough	00005815	body
cough-out	00006238	body
cough-up	02204855	possession
counsel	00874568	communication
count	00950103	communication
count-down	00949749	communication
count-off	00977765	communication
count-on	00713964	cognition
count-out	01103724	competition
countenance	00803980	communication
counter	00817041	communication
counter-drill	01446250	contact
counteract	02570756	social
counterattack	01127510	competition
counterbalance	02678329	stative
counterchallenge	00810190	communication
counterchange	00121734	change
countercheck	02570888	social
counterclaim	01020654	communication
counterfeit	01657814	creation
countermand	00801460	communication
countermarch	02001052	motion
countermine	02549304	social
counterplot	00709319	cognition
counterpoint	02672941	stative
counterpoise	02672750	stative
counterpose	02672750	stative
countersign	00999477	communication
countersink	01533061	contact
counterstrike	01127510	competition
countervail	02723890	stative
counterweight	02672750	stative
country-dance	01900288	motion
couple	01295488	contact
couple-on	01300210	contact
couple-up	01300210	contact
course	02071468	motion
court	02540158	social
court-martial	02504821	social
court-favor	00882850	communication
court-favour	00882850	communication
covenant	02480203	social
cover	01335412	contact
cover-for	00897451	communication
cover-up	02152799	perception
covet	01831174	emotion
cow	01783720	emotion
cower	02067916	motion
cowhide	01414422	contact
cowl	01339906	contact
cox	02451998	social
cozen	02581157	social
cozy-up	01808720	emotion
crab	01936557	motion
crack	00337070	change
crack-down	00419874	change
crack-up	01789398	emotion
crackle	02179828	perception
cradle	01224741	contact
craft	01662656	creation
cram	01527086	contact
cramp	01307126	contact
cranch	01597899	contact
crane	00028160	body
crank	01995776	motion
crank-out	01757080	creation
crank-up	01862782	motion
crap	00073791	body
crap-up	01481639	contact
crape	01602726	contact
crash	01976584	motion
crash-dive	01971930	motion
crash-land	01984780	motion
crate	01489304	contact
craunch	01597899	contact
crave	01191018	consumption
crawfish	00801045	communication
crawfish-out	00801045	communication
crawl	01889838	motion
crawl-in	00017858	body
crayon	01696604	creation
craze	01791641	emotion
creak	02176108	perception
cream	01420691	contact
cream-off	01263582	contact
crease	01280991	contact
create	01620211	creation
create-by-mental-act	01635076	creation
create-from-raw-material	01656555	creation
create-from-raw-stuff	01656555	creation
create-mentally	01635076	creation
create-verbally	01701711	creation
credit	00729105	cognition
creep	01889838	motion
creep-in	01231430	contact
creep-up	01997244	motion
cremate	00379825	change
crenel	02340625	possession
crenelate	02340625	possession
crenellate	02340625	possession
creolize	00116173	change
creosote	00186591	change
crepe	01602726	contact
crepitate	02179828	perception
crescendo	00547809	change
crest	02699010	stative
crew	01092025	competition
crib	02581052	social
crick	00025503	body
cricket	01078410	competition
criminalise	02486512	social
criminalize	02520746	social
criminate	00844668	communication
crimp	01459835	contact
crimson	00103071	body
cringe	02064997	motion
crinkle	01280991	contact
cripple	00226258	change
crisp	01280991	contact
crispen	00322952	change
crisscross	01917230	motion
criticise	00828170	communication
criticize	00828170	communication
critique	00857194	communication
croak	00359085	change
crochet	01676648	creation
crock	02064887	motion
crock-up	01789398	emotion
cronk	01066423	communication
crook	02038516	motion
croon	01051342	communication
crop	01556543	contact
crop-out	00426798	change
crop-up	02161949	perception
croquet	01603794	contact
cross	01916152	motion
cross-check	00665600	cognition
cross-dress	00051354	body
cross-fertilise	00053606	body
cross-fertilize	00053606	body
cross-file	02477456	social
cross-index	02478381	social
cross-link	01294130	contact
cross-pollinate	00053776	body
cross-refer	01027944	communication
cross-examine	00788711	communication
cross-off	00802412	communication
cross-oneself	00900331	communication
cross-out	00802412	communication
cross-question	00788711	communication
crossbreed	01432586	contact
crosscut	01603946	contact
crosshatch	01699871	creation
crossruff	01080966	competition
crouch	02066560	motion
crow	00885156	communication
crowd	02032568	motion
crowd-out	02017692	motion
crowd-together	02031458	motion
crown	02396091	social
crucify	02489638	social
cruise	01935537	motion
crumb	01268304	contact
crumble	02045722	motion
crump	02189243	perception
crumple	02045722	motion
crunch	01060096	communication
crusade	02595732	social
crush	02429499	social
crush-out	00479613	change
crust	00357443	change
cry	00915018	communication
cry-for	02635192	stative
cry-out	00914001	communication
cry-out-for	02635192	stative
crystalise	00622730	cognition
crystalize	00622730	cognition
crystallise	00622730	cognition
crystallize	00143524	change
cub	00057728	body
cube	00641924	cognition
cuckold	02582588	social
cuckoo	00959977	communication
cuddle	01427599	contact
cudgel	01426760	contact
cue	00879379	communication
cuff	01419816	contact
cull	02229563	possession
cull-out	00679122	cognition
culminate	00486540	change
cultivate	01746607	creation
culture	00246666	change
cumber	01303637	contact
cumulate	00158612	change
cup	00478759	change
curb	02516039	social
curdle	00458725	change
cure	00081478	body
curl	00362781	change
curl-up	02102736	motion
curry	02196671	perception
curry-favor	00882850	communication
curry-favour	00882850	communication
currycomb	01599776	contact
curse	00867051	communication
curtail	00237442	change
curtain	02358533	possession
curtain-off	02035855	motion
curtsey	02044394	motion
curtsy	02044394	motion
curve	02037140	motion
curvet	01970359	motion
cushion	01579748	contact
cuss	00867051	communication
custom-make	01626526	creation
customise	01626526	creation
customize	01626526	creation
cut	01555301	contact
cut-across	01916152	motion
cut-away	01864306	motion
cut-back	02008715	motion
cut-corners	01716413	creation
cut-down	00430013	change
cut-in	02300408	possession
cut-into	01312361	contact
cut-off	00780320	communication
cut-out	00473602	change
cut-short	00363458	change
cut-through	01916152	motion
cut-to	01864471	motion
cut-to-ribbons	01086331	competition
cut-up	01258531	contact
cutinize	00587150	change
cybernate	01722811	creation
cycle	02056599	motion
cycle-on	02055368	motion
cyclostyle	01752386	creation
cypher	00996121	communication
dab	01235758	contact
dabble	01980398	motion
dado	02231341	possession
daisy-chain	01357979	contact
dally	02442312	social
dam	01479854	contact
dam-up	01479854	contact
damage	00259743	change
damascene	01686341	creation
damn	00867622	communication
damp	02195757	perception
dampen	00391513	change
dance	01898642	motion
dandify	00051659	body
dandle	01869712	motion
dangle	02723347	stative
dapple	00511445	change
dare	02380015	social
darken	00313162	change
darn	01333358	contact
dart	01903884	motion
dash	02065423	motion
dash-down	01022603	communication
dash-off	01704514	creation
date	02491462	social
date-mark	00737229	cognition
date-back	02729826	stative
date-from	02729826	stative
date-stamp	00737394	cognition
dateline	00737229	cognition
datemark	00737229	cognition
daub	01363602	contact
daunt	01789567	emotion
dawdle	02062514	motion
dawn	00593150	cognition
daydream	01641175	creation
daze	02166865	perception
dazzle	02166865	perception
de-access	02252557	possession
de-aerate	02368971	possession
de-emphasise	00515811	change
de-emphasize	00515811	change
de-energise	00023237	body
de-energize	00023237	body
de-escalate	00291745	change
de-ice	00377478	change
de-iodinate	00522113	change
de-ionate	00521840	change
deaccession	02248749	possession
deactivate	00192060	change
deaden	00391231	change
deaerate	02368971	possession
deaf	02194386	perception
deafen	02194523	perception
deal	01035399	communication
deal-out	02299397	possession
deaminate	00574324	change
deaminize	00574324	change
debar	02507686	social
debark	01983255	motion
debase	02585532	social
debate	00716789	cognition
debauch	02585532	social
debilitate	00390309	change
debit	02270368	possession
debone	00197798	change
debouch	02088170	motion
debrief	00833137	communication
debug	00200606	change
debunk	00854877	communication
debut	01721874	creation
decaffeinate	02369071	possession
decalcify	00500385	change
decamp	02081104	motion
decant	02074224	motion
decapitate	01574185	contact
decarbonate	02369170	possession
decarbonise	00531522	change
decarbonize	00531522	change
decarboxylate	00502799	change
decarburise	00531522	change
decarburize	00531522	change
decay	00399980	change
decease	00359085	change
deceive	02581157	social
decelerate	00440913	change
decentralise	00406465	change
decentralize	00406465	change
decerebrate	02369265	possession
decertify	02449965	social
dechlorinate	02369392	possession
decide	00699355	cognition
decimalise	00531909	change
decimalize	00531909	change
decimate	00471989	change
decipher	00996499	communication
deck	02754802	stative
deck-out	00043880	body
deck-up	00043880	body
declaim	01053236	communication
declare	01012145	communication
declare-oneself	00881285	communication
declassify	02514756	social
declaw	00197365	change
decline	00204228	change
declutch	00532148	change
decoct	00375564	change
decode	00996499	communication
decoke	00531522	change
decollate	01574185	contact
decolonise	02596823	social
decolonize	02596823	social
decolor	00280592	change
decolorise	00280592	change
decolorize	00280592	change
decolour	00280592	change
decolourise	00280592	change
decolourize	00280592	change
decommission	02317722	possession
decompose	00209582	change
decompress	01392261	contact
deconcentrate	00406465	change
deconsecrate	00868726	communication
deconstruct	00940779	communication
decontaminate	00493988	change
decontrol	02472822	social
decorate	01679858	creation
decorticate	01266563	contact
decouple	01300399	contact
decoy	02583840	social
decrease	00151509	change
decree	01029517	communication
decrepitate	00122293	change
decrescendo	00547953	change
decriminalise	02487025	social
decriminalize	02487025	social
decry	00865823	communication
decrypt	00996499	communication
decussate	01918106	motion
dedicate	00888984	communication
dedifferentiate	00119533	change
deduce	00638236	cognition
deduct	00642914	cognition
deed-over	02260750	possession
deem	00695546	cognition
deep-dye	00284344	change
deep-fat-fry	00326578	change
deep-fry	00327111	change
deep-six	02227776	possession
deep-freeze	00376088	change
deepen	00227591	change
deface	01552687	contact
defalcate	02297496	possession
defame	00848188	communication
defang	00197466	change
defat	02369490	possession
default	02258574	possession
default-on	02258574	possession
defeat	01110559	competition
defecate	00073791	body
defect	02590182	social
defeminise	00060472	body
defeminize	00060472	body
defend	00896689	communication
defenestrate	01511516	contact
defer	02648898	stative
defervesce	00572978	change
defibrillate	02558699	social
defibrinate	02369572	possession
defile	01540747	contact
define	02617665	stative
deflagrate	02778268	weather
deflate	01439502	contact
deflect	02458770	social
deflower	01431014	contact
defog	00362294	change
defoliate	00196157	change
deforest	00196368	change
deform	01587796	contact
defraud	02578034	social
defray	02354941	possession
defrock	02482154	social
defrost	00377478	change
defuse	01140122	competition
defy	02712676	stative
degas	00181325	change
degauss	00401007	change
degenerate	00092045	body
deglaze	01668599	creation
deglycerolise	01991950	motion
deglycerolize	01991950	motion
degrade	01310556	contact
degrease	02369667	possession
degust	01198208	consumption
dehisce	00308887	change
dehorn	00198742	change
dehumanise	01805279	emotion
dehumanize	01805279	emotion
dehumidify	00216483	change
dehydrate	00213216	change
dehydrogenate	00309181	change
deice	00377478	change
deify	00695167	cognition
deign	02597468	social
deionize	02369766	possession
deject	01818363	emotion
delay	00460731	change
delegate	02400537	social
delete	01551969	contact
deliberate	00814706	communication
delight	01819595	emotion
delimit	02617665	stative
delimitate	02617665	stative
delineate	02742653	stative
deliquesce	00554130	change
delist	02369848	possession
deliver	00991634	communication
deliver-the-goods	02529837	social
delocalize	02369964	possession
delouse	00532243	change
delude	02581157	social
deluge	01527311	contact
delve	01312361	contact
demagnetise	01000807	communication
demagnetize	01000807	communication
demand	00756987	communication
demarcate	00732484	cognition
demasculinise	00060604	body
demasculinize	00060604	body
dematerialise	00345146	change
dematerialize	00345146	change
demean	01804404	emotion
demilitarise	01101801	competition
demilitarize	01101801	competition
demineralise	00575591	change
demineralize	00575591	change
demise	02225696	possession
demist	00362294	change
demo	02153218	perception
demob	01090603	competition
demobilise	01100617	competition
demobilize	01100617	competition
democratise	02539573	social
democratize	02539573	social
demodulate	01354304	contact
demolish	01660001	creation
demonetise	00495039	change
demonetize	00495039	change
demonise	00548380	change
demonize	00548380	change
demonstrate	02153218	perception
demoralise	02585532	social
demoralize	02585532	social
demote	02404473	social
demulsify	00502240	change
demur	00809603	communication
demyelinate	01761040	creation
demystify	00519932	change
demythologise	00135386	change
demythologize	00135386	change
denationalise	00412717	change
denationalize	00412717	change
denaturalise	00413785	change
denaturalize	00413785	change
denature	00555187	change
denazify	00502369	change
denigrate	00866139	communication
denitrify	00503413	change
denominate	01032165	communication
denote	00934123	communication
denounce	00843259	communication
dent	01282234	contact
denudate	00195256	change
denude	00195256	change
deny	00818217	communication
deodorise	02131328	perception
deodorize	02131328	perception
deodourise	02131328	perception
deoxidise	00238763	change
deoxidize	00238763	change
deoxygenate	02370072	possession
depart	01852660	motion
depend	02670312	stative
depend-on	02717862	stative
depend-upon	02717862	stative
depersonalise	00388967	change
depersonalize	00388967	change
depict	01690851	creation
depilate	00037507	body
deplane	02020150	motion
deplete	01159815	consumption
deplore	00827994	communication
deploy	01151793	competition
deplumate	01386929	contact
deplume	02320028	possession
depolarise	00575418	change
depolarize	00575418	change
depone	01015049	communication
depopulate	00532382	change
deport	02523827	social
depose	02410394	social
deposit	01530857	contact
deprave	02585532	social
deprecate	00858111	communication
depreciate	00857615	communication
depress	01818363	emotion
depressurise	00404874	change
depressurize	00404874	change
deprive	02319255	possession
depute	02400537	social
deputise	02399804	social
deputize	02399804	social
deracinate	02544219	social
derail	02015895	motion
derange	01768438	emotion
derate	00532724	change
derecognise	02449965	social
derecognize	02449965	social
deregulate	02517671	social
derequisition	02281047	possession
derestrict	02515773	social
deride	00854604	communication
derive	00638236	cognition
derogate	00866139	communication
desacralize	02226576	possession
desalinate	00532984	change
desalinise	00532984	change
desalinize	00532984	change
desalt	00532984	change
descale	01266712	contact
descant	01714695	creation
descant-on	01707988	creation
descend	01974840	motion
describe	00989103	communication
descry	02158742	perception
desecrate	02573980	social
desegregate	02487489	social
desensitise	02119407	perception
desensitize	02119407	perception
desert	00615748	cognition
deserve	02652462	stative
desex	00061366	body
desexualise	01957534	motion
desexualize	01957534	motion
desiccate	00213216	change
design	01641910	creation
designate	01032165	communication
desire	01829179	emotion
desist	01198570	consumption
desolate	00615748	cognition
desorb	00571282	change
despair	01814900	emotion
despatch	01958986	motion
despise	01778720	emotion
despoil	02349564	possession
despond	01815139	emotion
desquamate	00009485	body
destabilise	00272976	change
destabilize	00272976	change
destain	02370167	possession
destalinise	00570395	change
destalinize	00570395	change
destine	00748465	communication
destress	00515811	change
destroy	01622948	creation
destruct	01623725	creation
desulfurize	02370293	possession
desulphurize	02370293	possession
desynchronise	00395469	change
desynchronize	00395469	change
detach	01301254	contact
detail	00958282	communication
detain	02500687	social
detect	02158938	perception
deter	00910052	communication
deterge	01395692	contact
deteriorate	00208905	change
determine	00920843	communication
detest	01778057	emotion
dethaw	00376777	change
dethrone	02396595	social
detick	02370395	possession
detonate	00307505	change
detour	02070131	motion
detox	00079541	body
detoxicate	00506430	change
detoxify	00506430	change
detract	00533195	change
detrain	02020072	motion
detransitivise	00421862	change
detransitivize	00421862	change
detribalise	00159894	change
detribalize	00159894	change
detusk	00198588	change
devaluate	00494865	change
devalue	00494865	change
devastate	00389306	change
devein	02370480	possession
develop	01742655	creation
deviate	02068815	motion
devil	01791774	emotion
devilise	00548573	change
devilize	00548573	change
devise	01635953	creation
devitalise	00166760	change
devitalize	00166760	change
devitrify	00506798	change
devoice	00952702	communication
devolve	02397527	social
devolve-on	02717862	stative
devote	00888984	communication
devour	01568141	contact
diabolise	00548573	change
diabolize	00548573	change
diagnose	00647205	cognition
diagonalise	00522954	change
diagonalize	00522954	change
diagram	01697348	creation
dial	00791970	communication
dialyse	00331236	change
dialyze	00331236	change
diazotize	00586375	change
dibble	01570535	contact
dice	01259431	contact
dichotomise	00657778	cognition
dichotomize	00657778	cognition
dicker	02264636	possession
dictate	00749139	communication
didder	00014027	body
diddle	02578034	social
die	00359085	change
die-away	00245945	change
die-back	00242912	change
die-down	00242912	change
die-hard	02653599	stative
die-off	00428636	change
die-out	00428636	change
diet	01192545	consumption
differ	02672316	stative
differentiate	00652006	cognition
diffract	02033650	motion
diffuse	02064069	motion
dig	01312361	contact
dig-in	01533912	contact
dig-into	01229439	contact
dig-out	02148219	perception
dig-up	01316583	contact
digest	01199976	consumption
digitalise	00564901	change
digitalize	00564901	change
digitise	00564901	change
digitize	00564901	change
dignify	02552573	social
digress	00782620	communication
dike	01590739	contact
dilapidate	01666329	creation
dilate	00306318	change
dilly-dally	02648322	stative
dillydally	02648322	stative
dilute	00226497	change
dim	02166741	perception
dimension	00924113	communication
diminish	00151509	change
dimple	00510530	change
din	02191956	perception
dine	01170315	consumption
dine-in	01169871	consumption
dine-out	01169974	consumption
ding	02185620	perception
dingdong	02185620	perception
dinge	00547689	change
dip	01579924	contact
dip-into	00627478	cognition
dip-solder	01598412	contact
diphthongise	00746223	communication
diphthongize	00746223	communication
direct	00751211	communication
dirty	01536935	contact
disable	00513267	change
disabuse	00993609	communication
disaccord	02724418	stative
disadvantage	02519126	social
disaffect	01827478	emotion
disafforest	00196368	change
disagree	00806464	communication
disagree-with	00070808	body
disallow	00797525	communication
disambiguate	00959210	communication
disappear	00427911	change
disappoint	01802947	emotion
disapprove	00676259	cognition
disarm	01090246	competition
disarrange	01469362	contact
disarray	00277172	change
disarticulate	01297235	contact
disassemble	01661660	creation
disassociate	02435427	social
disavow	00821736	communication
disband	02034812	motion
disbar	02486177	social
disbelieve	00686564	cognition
disbud	01324331	contact
disburden	01490553	contact
disburse	02306463	possession
disc-jockey	01035218	communication
discard	02227100	possession
discase	00049617	body
discern	02197640	perception
discerp	01575341	contact
discharge	02569639	social
discipline	02559394	social
disclaim	00760242	communication
disclose	00935783	communication
disco	01901399	motion
discolor	00283693	change
discolorise	00280592	change
discolorize	00280592	change
discolour	00281861	change
discolourise	00280592	change
discombobulate	01795261	emotion
discomfit	01793821	emotion
discommode	02513385	social
discompose	01793821	emotion
disconcert	01794768	emotion
disconnect	01424071	contact
discontent	01820950	emotion
discontinue	02686624	stative
discord	02724418	stative
discount	00802592	communication
discountenance	01796442	emotion
discourage	00910052	communication
discourse	01036184	communication
discover	02158938	perception
discredit	00689639	cognition
discriminate	00651669	cognition
discuss	01036184	communication
disdain	01778720	emotion
disembark	01983255	motion
disembarrass	02355171	possession
disembody	02355763	possession
disembowel	00197965	change
disembroil	02683880	stative
disenable	00513267	change
disenchant	01821722	emotion
disencumber	01588680	contact
disenfranchise	02482269	social
disengage	01514012	contact
disentangle	01588680	contact
disestablish	00173020	change
disesteem	00696407	cognition
disfavor	02519126	social
disfavour	02519126	social
disfigure	01552687	contact
disforest	00196368	change
disfranchise	02482269	social
disgorge	01544361	contact
disgrace	02552922	social
disgruntle	01834542	emotion
disguise	02163017	perception
disgust	02199359	perception
dish	01182648	consumption
dish-out	02299397	possession
dish-the-dirt	01043826	communication
dish-up	01182648	consumption
disharmonize	00568681	change
dishearten	01823354	emotion
dishevel	01476664	contact
dishonor	02552922	social
dishonour	02552922	social
disillusion	01821722	emotion
disincarnate	01648832	creation
disincline	00683044	cognition
disinfect	00089076	body
disinfest	02355616	possession
disinherit	02321077	possession
disintegrate	00398482	change
disinter	02462490	social
disinvest	02390514	social
disinvolve	02683880	stative
disjoin	01296999	contact
disjoint	02435427	social
disk	01746296	creation
disk-jockey	01035218	communication
dislike	01780648	emotion
dislocate	00466675	change
dislodge	01531310	contact
dismantle	01665698	creation
dismay	01818363	emotion
dismember	01575055	contact
dismiss	00802592	communication
dismount	01962311	motion
disobey	02548878	social
disoblige	02513385	social
disorder	01768023	emotion
disorganise	02440987	social
disorganize	02440987	social
disorient	02164171	perception
disorientate	02164171	perception
disown	02321077	possession
disparage	00847588	communication
dispatch	01958986	motion
dispel	02006752	motion
dispense	02299397	possession
dispense-with	02350643	possession
disperse	01378910	contact
dispirit	01818363	emotion
displace	02017423	motion
display	02144506	perception
displease	01821097	emotion
displume	02320028	possession
disport	02498011	social
dispose	02359918	possession
dispose-of	02442187	social
dispossess	02319638	possession
dispread	02081677	motion
disprove	00669342	cognition
dispute	00870790	communication
disqualify	00302119	change
disquiet	01768023	emotion
disregard	01061436	communication
disrespect	02463257	social
disrobe	00049617	body
disrupt	00780320	communication
diss	00850100	communication
dissatisfy	01820612	emotion
dissect	01553002	contact
dissemble	00839722	communication
disseminate	00970243	communication
dissent	00806315	communication
dissertate	00816283	communication
dissever	02473085	social
dissimilate	00160820	change
dissimulate	02152254	perception
dissipate	02034269	motion
dissociate	02435427	social
dissolve	00448726	change
dissonate	02139793	perception
dissuade	00772186	communication
distance	02688950	stative
distemper	01687317	creation
distend	00306318	change
distil	00365521	change
distill	00476114	change
distinguish	00652006	cognition
distort	00837582	communication
distract	01795785	emotion
distrain	02358748	possession
distress	02609431	social
distribute	02299397	possession
district	02517816	social
distrust	00689827	cognition
disturb	01774422	emotion
disunify	00369315	change
disunite	02435427	social
ditch	02233050	possession
dither	01824127	emotion
ditto	00961059	communication
divagate	00782620	communication
divaricate	02716011	stative
dive	01971380	motion
dive-bomb	01135093	competition
diverge	02036260	motion
diversify	00438078	change
divert	02068815	motion
divest	02319255	possession
divide	02473085	social
divine	02112042	perception
divorce	02435427	social
divulge	00935783	communication
divvy-up	02299140	possession
dizen	00044971	body
dizzy	00533408	change
dj	01035218	communication
do	02566500	social
do-a-job-on	01567617	contact
do-away-with	00472642	change
do-by	02519853	social
do-drugs	01203078	consumption
do-good	02295917	possession
do-in	01329983	contact
do-it	01429048	contact
do-justice	02142926	perception
do-one's-best	02569035	social
do-the-dishes	01535954	contact
do-the-honors	02598699	social
do-up	01286214	contact
do-well	02729439	stative
do-well-by	02521773	social
do-work	02415985	social
dock	02089989	motion
docket	01010746	communication
doctor	00489366	change
doctor-up	00489366	change
document	01004342	communication
dodder	01922796	motion
dodge	02100772	motion
doff	01593579	contact
dog	02005890	motion
dogfight	01651915	creation
dogmatise	00982940	communication
dogmatize	00982940	communication
dogsled	01943265	motion
dole-out	02299397	possession
doll-up	00042809	body
domesticate	00303245	change
domesticise	00302911	change
domesticize	00302911	change
domicile	02656647	stative
domiciliate	02656647	stative
dominate	02650318	stative
domineer	01785576	emotion
